Date,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,SleepScore,sleep_labels
03-09-2015,0,0,0,0,,NaN
04-09-2015,452,26,18,489,0.8711656441717791,1
05-09-2015,479,32,21,512,0.873046875,1
06-09-2015,382,30,18,414,0.8502415458937198,1
07-09-2015,0,0,0,0,,NaN
08-09-2015,153,8,9,163,0.8895705521472392,1
09-09-2015,393,61,33,468,0.7094017094017094,3
10-09-2015,226,12,8,249,0.8594377510040161,1
11-09-2015,249,31,15,287,0.759581881533101,2
12-09-2015,525,72,45,603,0.7512437810945274,2
13-09-2015,414,61,34,480,0.7354166666666667,3
14-09-2015,0,0,0,0,,NaN
15-09-2015,426,17,11,444,0.9211711711711712,0
16-09-2015,423,40,27,478,0.801255230125523,2
17-09-2015,407,41,29,457,0.8008752735229759,2
18-09-2015,393,58,30,452,0.7411504424778761,3
19-09-2015,396,35,24,433,0.8337182448036952,2
20-09-2015,0,0,0,0,,NaN
21-09-2015,0,0,0,0,,NaN
22-09-2015,395,35,17,430,0.8372093023255814,2
23-09-2015,420,36,17,456,0.8421052631578947,2
24-09-2015,0,0,0,0,,NaN
25-09-2015,434,35,16,469,0.8507462686567164,1
26-09-2015,359,54,30,414,0.7367149758454107,3
27-09-2015,265,20,10,285,0.8596491228070176,1
28-09-2015,411,38,23,450,0.8288888888888889,2
29-09-2015,309,39,26,348,0.7758620689655172,2
30-09-2015,477,27,16,504,0.8928571428571429,1
01-10-2015,403,45,27,448,0.7991071428571429,2
02-10-2015,431,39,28,470,0.8340425531914893,2
03-10-2015,0,0,0,0,,NaN
04-10-2015,108,7,5,115,0.8782608695652174,1
05-10-2015,78,3,2,81,0.9259259259259259,0
06-10-2015,397,66,35,463,0.714902807775378,3
07-10-2015,387,17,8,404,0.9158415841584159,0
08-10-2015,0,0,0,0,,NaN
09-10-2015,407,65,33,472,0.7245762711864406,3
10-10-2015,92,7,6,99,0.8585858585858586,1
11-10-2015,0,0,0,0,,NaN
